adjectifs,ensembles des traits morpho,catégorie
abricot,"[('abricot', '')]",invariable
abricoté,"[('abricoté', 'ms'), ('abricotée', 'fs'), ('abricotées', 'fp'), ('abricotés', 'mp')]",variations en genre et en nombre silencieuses
abrité,"[('abrité', 'ms'), ('abritée', 'fs'), ('abritées', 'fp'), ('abrités', 'mp')]",variations en genre et en nombre silencieuses
abrogatif,"[('abrogatif', 'ms'), ('abrogatifs', 'mp'), ('abrogative', 'fs'), ('abrogatives', 'fp')]",variations en genre audible et en nombre silencieuses
abrogatoire,"[('abrogatoire', 's'), ('abrogatoires', 'p')]",variations en genre et en nombre silencieuses
abrogeable,"[('abrogeable', 's'), ('abrogeables', 'p')]",variations en genre et en nombre silencieuses
abrupt,"[('abrupt', 'ms'), ('abrupte', 'fs'), ('abruptes', 'fp'), ('abrupts', 'mp')]",variations en genre audible et en nombre silencieuses
abruti,"[('abruti', 'ms'), ('abrutie', 'fs'), ('abruties', 'fp'), ('abrutis', 'mp')]",variations en genre et en nombre silencieuses
abrutissant,"[('abrutissant', 'ms'), ('abrutissante', 'fs'), ('abrutissantes', 'fp'), ('abrutissants', 'mp')]",variations en genre audible et en nombre silencieuses
abréviatif,"[('abréviatif', 'ms'), ('abréviatifs', 'mp'), ('abréviative', 'fs'), ('abréviatives', 'fp')]",variations en genre audible et en nombre silencieuses
abscons,"[('abscons', 'm'), ('absconse', 'fs'), ('absconses', 'fp')]",variations en genre audible et en nombre silencieuses
absent,"[('absent', 'ms'), ('absente', 'fs'), ('absentes', 'fp'), ('absents', 'mp')]",variations en genre audible et en nombre silencieuses
absentéiste,"[('absentéiste', 's'), ('absentéistes', 'p')]",variations en genre et en nombre silencieuses
absidal,"[('absidal', 'ms'), ('absidale', 'fs'), ('absidales', 'fp'), ('absidaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
absolu,"[('absolu', 'ms'), ('absolue', 'fs'), ('absolues', 'fp'), ('absolus', 'mp')]",variations en genre et en nombre silencieuses
absolutiste,"[('absolutiste', 's'), ('absolutistes', 'p')]",variations en genre et en nombre silencieuses
absolutoire,"[('absolutoire', 's'), ('absolutoires', 'p')]",variations en genre et en nombre silencieuses
absorbable,"[('absorbable', 's'), ('absorbables', 'p')]",variations en genre et en nombre silencieuses
absorbant,"[('absorbant', 'ms'), ('absorbante', 'fs'), ('absorbantes', 'fp'), ('absorbants', 'mp')]",variations en genre audible et en nombre silencieuses
absorbé,"[('absorbé', 'ms'), ('absorbée', 'fs'), ('absorbées', 'fp'), ('absorbés', 'mp')]",variations en genre et en nombre silencieuses
abstentionniste,"[('abstentionniste', 's'), ('abstentionnistes', 'p')]",variations en genre et en nombre silencieuses
abstinent,"[('abstinent', 'ms'), ('abstinente', 'fs'), ('abstinentes', 'fp'), ('abstinents', 'mp')]",variations en genre audible et en nombre silencieuses
abstracteur,"[('abstracteur', 'ms'), ('abstracteurs', 'mp'), ('abstractrice', 'fs'), ('abstractrices', 'fp')]",invariable
abstrait,"[('abstrait', 'ms'), ('abstraite', 'fs'), ('abstraites', 'fp'), ('abstraits', 'mp')]",variations en genre audible et en nombre silencieuses
abstrus,"[('abstrus', 'm'), ('abstruse', 'fs'), ('abstruses', 'fp')]",variations en genre audible et en nombre silencieuses
abstème,"[('abstème', 's'), ('abstèmes', 'p')]",variations en genre et en nombre silencieuses
absurde,"[('absurde', 's'), ('absurdes', 'p')]",variations en genre et en nombre silencieuses
abusif,"[('abusif', 'ms'), ('abusifs', 'mp'), ('abusive', 'fs'), ('abusives', 'fp')]",variations en genre audible et en nombre silencieuses
abyssal,"[('abyssal', 'ms'), ('abyssale', 'fs'), ('abyssales', 'fp'), ('abyssaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
abyssin,"[('abyssin', 'ms'), ('abyssine', 'fs'), ('abyssines', 'fp'), ('abyssins', 'mp')]",variations en genre audible et en nombre silencieuses
abyssinien,"[('abyssinien', 'ms'), ('abyssinienne', 'fs'), ('abyssiniennes', 'fp'), ('abyssiniens', 'mp')]",variations en genre audible et en nombre silencieuses
abécédaire,"[('abécédaire', 's'), ('abécédaires', 'p')]",variations en genre et en nombre silencieuses
abélien,"[('abélien', 'ms'), ('abélienne', 'fs'), ('abéliennes', 'fp'), ('abéliens', 'mp')]",variations en genre audible et en nombre silencieuses
abêtissant,"[('abêtissant', 'ms'), ('abêtissante', 'fs'), ('abêtissantes', 'fp'), ('abêtissants', 'mp')]",variations en genre audible et en nombre silencieuses
abîmant,"[('abîmant', 'ms'), ('abîmante', 'fs'), ('abîmantes', 'fp'), ('abîmants', 'mp')]",variations en genre audible et en nombre silencieuses
abîmé,"[('abîmé', 'ms'), ('abîmée', 'fs'), ('abîmées', 'fp'), ('abîmés', 'mp')]",variations en genre et en nombre silencieuses
