adjectifs,ensembles des traits morpho,catégorie
agronomique,"[('agronomique', 's'), ('agronomiques', 'p')]",variations en genre et en nombre silencieuses
agréable,"[('agréable', 's'), ('agréables', 'p')]",variations en genre et en nombre silencieuses
agrégatif,"[('agrégatif', 'ms'), ('agrégatifs', 'mp'), ('agrégative', 'fs'), ('agrégatives', 'fp')]",variations en genre audible et en nombre silencieuses
agrégé,"[('agrégé', 'ms'), ('agrégée', 'fs'), ('agrégées', 'fp'), ('agrégés', 'mp')]",variations en genre et en nombre silencieuses
aguichant,"[('aguichant', 'ms'), ('aguichante', 'fs'), ('aguichantes', 'fp'), ('aguichants', 'mp')]",variations en genre audible et en nombre silencieuses
aguicheur,"[('aguicheur', 'ms'), ('aguicheurs', 'mp'), ('aguicheuse', 'fs'), ('aguicheuses', 'fp')]",invariable
ahanant,"[('ahanant', 'ms'), ('ahanante', 'fs'), ('ahanantes', 'fp'), ('ahanants', 'mp')]",variations en genre audible et en nombre silencieuses
ahuri,"[('ahuri', 'ms'), ('ahurie', 'fs'), ('ahuries', 'fp'), ('ahuris', 'mp')]",variations en genre et en nombre silencieuses
ahurissant,"[('ahurissant', 'ms'), ('ahurissante', 'fs'), ('ahurissantes', 'fp'), ('ahurissants', 'mp')]",variations en genre audible et en nombre silencieuses
aigre,"[('aigre', 's'), ('aigres', 'p')]",variations en genre et en nombre silencieuses
aigre-doux,"[('aigre-douce', 'fs'), ('aigre-doux', 'ms'), ('aigres-douces', 'fp'), ('aigres-doux', 'mp')]",invariable
aigrelet,"[('aigrelet', 'ms'), ('aigrelets', 'mp'), ('aigrelette', 'fs'), ('aigrelettes', 'fp')]",variations en genre audible et en nombre silencieuses
aigretté,"[('aigretté', 'ms'), ('aigrettée', 'fs'), ('aigrettées', 'fp'), ('aigrettés', 'mp')]",variations en genre et en nombre silencieuses
aigri,"[('aigri', 'ms'), ('aigrie', 'fs'), ('aigries', 'fp'), ('aigris', 'mp')]",variations en genre et en nombre silencieuses
aigu,"[('aigu', 'ms'), ('aigus', 'mp'), ('aiguë', 'fs'), ('aiguës', 'fp')]",variations en genre et en nombre silencieuses
aiguilleté,"[('aiguilleté', 'ms'), ('aiguilletée', 'fs'), ('aiguilletées', 'fp'), ('aiguilletés', 'mp')]",variations en genre et en nombre silencieuses
aiguiseur,"[('aiguiseur', 'ms'), ('aiguiseurs', 'mp'), ('aiguiseuse', 'fs'), ('aiguiseuses', 'fp')]",invariable
aiguisé,"[('aiguisé', 'ms'), ('aiguisée', 'fs'), ('aiguisées', 'fp'), ('aiguisés', 'mp')]",variations en genre et en nombre silencieuses
aillé,"[('aillé', 'ms'), ('aillée', 'fs'), ('aillées', 'fp'), ('aillés', 'mp')]",variations en genre et en nombre silencieuses
ailé,"[('ailé', 'ms'), ('ailée', 'fs'), ('ailées', 'fp'), ('ailés', 'mp')]",variations en genre et en nombre silencieuses
aimable,"[('aimable', 's'), ('aimables', 'p')]",variations en genre et en nombre silencieuses
aimant,"[('aimant', 'ms'), ('aimante', 'fs'), ('aimantes', 'fp'), ('aimants', 'mp')]",variations en genre audible et en nombre silencieuses
aimanté,"[('aimanté', 'ms'), ('aimantée', 'fs'), ('aimantées', 'fp'), ('aimantés', 'mp')]",variations en genre et en nombre silencieuses
aimé,"[('aimé', 'ms'), ('aimée', 'fs'), ('aimées', 'fp'), ('aimés', 'mp')]",variations en genre et en nombre silencieuses
aise,"[('aise', 's'), ('aises', 'p')]",variations en genre et en nombre silencieuses
aisé,"[('aisé', 'ms'), ('aisée', 'fs'), ('aisées', 'fp'), ('aisés', 'mp')]",variations en genre et en nombre silencieuses
aixois,"[('aixois', 'm'), ('aixoise', 'fs'), ('aixoises', 'fp')]",variations en genre audible et en nombre silencieuses
ajaccien,"[('ajaccien', 'ms'), ('ajaccienne', 'fs'), ('ajacciennes', 'fp'), ('ajacciens', 'mp')]",variations en genre audible et en nombre silencieuses
ajacéen,"[('ajacéen', 'ms'), ('ajacéenne', 'fs'), ('ajacéennes', 'fp'), ('ajacéens', 'mp')]",variations en genre audible et en nombre silencieuses
ajiste,"[('ajiste', 's'), ('ajistes', 'p')]",variations en genre et en nombre silencieuses
ajournable,"[('ajournable', 's'), ('ajournables', 'p')]",variations en genre et en nombre silencieuses
ajourné,"[('ajourné', 'ms'), ('ajournée', 'fs'), ('ajournées', 'fp'), ('ajournés', 'mp')]",variations en genre et en nombre silencieuses
ajouré,"[('ajouré', 'ms'), ('ajourée', 'fs'), ('ajourées', 'fp'), ('ajourés', 'mp')]",variations en genre et en nombre silencieuses
ajusté,"[('ajusté', 'ms'), ('ajustée', 'fs'), ('ajustées', 'fp'), ('ajustés', 'mp')]",variations en genre et en nombre silencieuses
akkadien,"[('akkadien', 'ms'), ('akkadienne', 'fs'), ('akkadiennes', 'fp'), ('akkadiens', 'mp')]",variations en genre audible et en nombre silencieuses
alaire,"[('alaire', 's'), ('alaires', 'p')]",variations en genre et en nombre silencieuses
alambiqué,"[('alambiqué', 'ms'), ('alambiquée', 'fs'), ('alambiquées', 'fp'), ('alambiqués', 'mp')]",variations en genre et en nombre silencieuses
alangui,"[('alangui', 'ms'), ('alanguie', 'fs'), ('alanguies', 'fp'), ('alanguis', 'mp')]",variations en genre et en nombre silencieuses
alaouite,"[('alaouite', 's'), ('alaouites', 'p')]",variations en genre et en nombre silencieuses
alarmant,"[('alarmant', 'ms'), ('alarmante', 'fs'), ('alarmantes', 'fp'), ('alarmants', 'mp')]",variations en genre audible et en nombre silencieuses
alarmiste,"[('alarmiste', 's'), ('alarmistes', 'p')]",variations en genre et en nombre silencieuses
alarmé,"[('alarmé', 'ms'), ('alarmée', 'fs'), ('alarmées', 'fp'), ('alarmés', 'mp')]",variations en genre et en nombre silencieuses
albanais,"[('albanais', 'm'), ('albanaise', 'fs'), ('albanaises', 'fp')]",variations en genre audible et en nombre silencieuses
albanophone,"[('albanophone', 's'), ('albanophones', 'p')]",variations en genre et en nombre silencieuses
albigeois,"[('albigeois', 'm'), ('albigeoise', 'fs'), ('albigeoises', 'fp')]",variations en genre audible et en nombre silencieuses
albinos,"[('albinos', '')]",invariable
albuginé,"[('albuginé', 'ms'), ('albuginée', 'fs'), ('albuginées', 'fp'), ('albuginés', 'mp')]",variations en genre et en nombre silencieuses
albumineux,"[('albumineuse', 'fs'), ('albumineuses', 'fp'), ('albumineux', 'm')]",variations en genre audible et en nombre silencieuses
albuminoïde,"[('albuminoïde', 's'), ('albuminoïdes', 'p')]",variations en genre et en nombre silencieuses
albuminurique,"[('albuminurique', 's'), ('albuminuriques', 'p')]",variations en genre et en nombre silencieuses
albuminé,"[('albuminé', 'ms'), ('albuminée', 'fs'), ('albuminées', 'fp'), ('albuminés', 'mp')]",variations en genre et en nombre silencieuses
alcalescent,"[('alcalescent', 'ms'), ('alcalescente', 'fs'), ('alcalescentes', 'fp'), ('alcalescents', 'mp')]",variations en genre audible et en nombre silencieuses
alcalifiant,"[('alcalifiant', 'ms'), ('alcalifiante', 'fs'), ('alcalifiantes', 'fp'), ('alcalifiants', 'mp')]",variations en genre audible et en nombre silencieuses
alcalin,"[('alcalin', 'ms'), ('alcaline', 'fs'), ('alcalines', 'fp'), ('alcalins', 'mp')]",variations en genre audible et en nombre silencieuses
alcalinisant,"[('alcalinisant', 'ms'), ('alcalinisante', 'fs'), ('alcalinisantes', 'fp'), ('alcalinisants', 'mp')]",variations en genre audible et en nombre silencieuses
alcaïque,"[('alcaïque', 's'), ('alcaïques', 'p')]",variations en genre et en nombre silencieuses
alchimique,"[('alchimique', 's'), ('alchimiques', 'p')]",variations en genre et en nombre silencieuses
alcoolique,"[('alcoolique', 's'), ('alcooliques', 'p')]",variations en genre et en nombre silencieuses
alcoolisable,"[('alcoolisable', 's'), ('alcoolisables', 'p')]",variations en genre et en nombre silencieuses
alcoolisé,"[('alcoolisé', 'ms'), ('alcoolisée', 'fs'), ('alcoolisées', 'fp'), ('alcoolisés', 'mp')]",variations en genre et en nombre silencieuses
aldin,"[('aldin', 'ms'), ('aldine', 'fs'), ('aldines', 'fp'), ('aldins', 'mp')]",variations en genre audible et en nombre silencieuses
aldéhydique,"[('aldéhydique', 's'), ('aldéhydiques', 'p')]",variations en genre et en nombre silencieuses
alerte,"[('alerte', 's'), ('alertes', 'p')]",variations en genre et en nombre silencieuses
alexandrin,"[('alexandrin', 'ms'), ('alexandrine', 'fs'), ('alexandrines', 'fp'), ('alexandrins', 'mp')]",variations en genre audible et en nombre silencieuses
alezan,"[('alezan', 'ms'), ('alezane', 'fs'), ('alezanes', 'fp'), ('alezans', 'mp')]",variations en genre audible et en nombre silencieuses
alfatier,"[('alfatier', 'ms'), ('alfatiers', 'mp'), ('alfatière', 'fs'), ('alfatières', 'fp')]",variations en genre et en nombre silencieuses
algide,"[('algide', 's'), ('algides', 'p')]",variations en genre et en nombre silencieuses
algique,"[('algique', 's'), ('algiques', 'p')]",variations en genre et en nombre silencieuses
algonquin,"[('algonquin', 'ms'), ('algonquine', 'fs'), ('algonquines', 'fp'), ('algonquins', 'mp')]",variations en genre audible et en nombre silencieuses
algorithmique,"[('algorithmique', 's'), ('algorithmiques', 'p')]",variations en genre et en nombre silencieuses
algébrique,"[('algébrique', 's'), ('algébriques', 'p')]",variations en genre et en nombre silencieuses
algérien,"[('algérien', 'ms'), ('algérienne', 'fs'), ('algériennes', 'fp'), ('algériens', 'mp')]",variations en genre audible et en nombre silencieuses
algérois,"[('algérois', 'm'), ('algéroise', 'fs'), ('algéroises', 'fp')]",variations en genre audible et en nombre silencieuses
aliforme,"[('aliforme', 's'), ('aliformes', 'p')]",variations en genre et en nombre silencieuses
alifère,"[('alifère', 's'), ('alifères', 'p')]",variations en genre et en nombre silencieuses
aligoté,"[('aligoté', 'ms'), ('aligotée', 'fs'), ('aligotées', 'fp'), ('aligotés', 'mp')]",variations en genre et en nombre silencieuses
alimentaire,"[('alimentaire', 's'), ('alimentaires', 'p')]",variations en genre et en nombre silencieuses
aliphatique,"[('aliphatique', 's'), ('aliphatiques', 'p')]",variations en genre et en nombre silencieuses
aliquant,"[('aliquant', 'ms'), ('aliquante', 'fs'), ('aliquantes', 'fp'), ('aliquants', 'mp')]",variations en genre audible et en nombre silencieuses
aliquot,"[('aliquot', 'ms'), ('aliquote', 'fs'), ('aliquotes', 'fp'), ('aliquots', 'mp')]",variations en genre audible et en nombre silencieuses
alizé,"[('alizé', 'ms'), ('alizée', 'fs'), ('alizées', 'fp'), ('alizés', 'mp')]",variations en genre et en nombre silencieuses
aliénable,"[('aliénable', 's'), ('aliénables', 'p')]",variations en genre et en nombre silencieuses
aliénant,"[('aliénant', 'ms'), ('aliénante', 'fs'), ('aliénantes', 'fp'), ('aliénants', 'mp')]",variations en genre audible et en nombre silencieuses
aliéniste,"[('aliéniste', 's'), ('aliénistes', 'p')]",variations en genre et en nombre silencieuses
aliéné,"[('aliéné', 'ms'), ('aliénée', 'fs'), ('aliénées', 'fp'), ('aliénés', 'mp')]",variations en genre et en nombre silencieuses
allaitant,"[('allaitant', 'ms'), ('allaitante', 'fs'), ('allaitantes', 'fp'), ('allaitants', 'mp')]",variations en genre audible et en nombre silencieuses
allant,"[('allant', 'ms'), ('allante', 'fs'), ('allantes', 'fp'), ('allants', 'mp')]",variations en genre audible et en nombre silencieuses
allemand,"[('allemand', 'ms'), ('allemande', 'fs'), ('allemandes', 'fp'), ('allemands', 'mp')]",invariable
aller-retour,"[('aller-retour', '')]",variations en genre et en nombre silencieuses
allergique,"[('allergique', 's'), ('allergiques', 'p')]",variations en genre et en nombre silencieuses
allergisant,"[('allergisant', 'ms'), ('allergisante', 'fs'), ('allergisantes', 'fp'), ('allergisants', 'mp')]",variations en genre audible et en nombre silencieuses
alliable,"[('alliable', 's'), ('alliables', 'p')]",variations en genre et en nombre silencieuses
alliacé,"[('alliacé', 'ms'), ('alliacée', 'fs'), ('alliacées', 'fp'), ('alliacés', 'mp')]",variations en genre et en nombre silencieuses
allié,"[('allié', 'ms'), ('alliée', 'fs'), ('alliées', 'fp'), ('alliés', 'mp')]",variations en genre et en nombre silencieuses
allocentriste,"[('allocentriste', 's'), ('allocentristes', 'p')]",variations en genre et en nombre silencieuses
allochtone,"[('allochtone', 's'), ('allochtones', 'p')]",variations en genre et en nombre silencieuses
allodial,"[('allodial', 'ms'), ('allodiale', 'fs'), ('allodiales', 'fp'), ('allodiaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
allogène,"[('allogène', 's'), ('allogènes', 'p')]",variations en genre et en nombre silencieuses
allongeable,"[('allongeable', 's'), ('allongeables', 'p')]",variations en genre et en nombre silencieuses
allongé,"[('allongé', 'ms'), ('allongée', 'fs'), ('allongées', 'fp'), ('allongés', 'mp')]",variations en genre et en nombre silencieuses
allopathe,"[('allopathe', 's'), ('allopathes', 'p')]",variations en genre et en nombre silencieuses
allopathique,"[('allopathique', 's'), ('allopathiques', 'p')]",variations en genre et en nombre silencieuses
allostérique,"[('allostérique', 's'), ('allostériques', 'p')]",variations en genre et en nombre silencieuses
allotropique,"[('allotropique', 's'), ('allotropiques', 'p')]",variations en genre et en nombre silencieuses
allouable,"[('allouable', 's'), ('allouables', 'p')]",variations en genre et en nombre silencieuses
allumant,"[('allumant', 'ms'), ('allumante', 'fs'), ('allumantes', 'fp'), ('allumants', 'mp')]",variations en genre audible et en nombre silencieuses
allumettier,"[('allumettier', 'ms'), ('allumettiers', 'mp'), ('allumettière', 'fs'), ('allumettières', 'fp')]",variations en genre et en nombre silencieuses
allumeur,"[('allumeur', 'ms'), ('allumeurs', 'mp'), ('allumeuse', 'fs'), ('allumeuses', 'fp')]",invariable
allumé,"[('allumé', 'ms'), ('allumée', 'fs'), ('allumées', 'fp'), ('allumés', 'mp')]",variations en genre et en nombre silencieuses
alluré,"[('alluré', 'ms'), ('allurée', 'fs'), ('allurées', 'fp'), ('allurés', 'mp')]",variations en genre et en nombre silencieuses
allusif,"[('allusif', 'ms'), ('allusifs', 'mp'), ('allusive', 'fs'), ('allusives', 'fp')]",variations en genre audible et en nombre silencieuses
alluvial,"[('alluvial', 'ms'), ('alluviale', 'fs'), ('alluviales', 'fp'), ('alluviaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
alluvionnaire,"[('alluvionnaire', 's'), ('alluvionnaires', 'p')]",variations en genre et en nombre silencieuses
allylique,"[('allylique', 's'), ('allyliques', 'p')]",variations en genre et en nombre silencieuses
allègre,"[('allègre', 's'), ('allègres', 'p')]",variations en genre et en nombre silencieuses
allèle,"[('allèle', 's'), ('allèles', 'p')]",variations en genre et en nombre silencieuses
alléchant,"[('alléchant', 'ms'), ('alléchante', 'fs'), ('alléchantes', 'fp'), ('alléchants', 'mp')]",variations en genre audible et en nombre silencieuses
allégeant,"[('allégeant', 'ms'), ('allégeante', 'fs'), ('allégeantes', 'fp'), ('allégeants', 'mp')]",variations en genre audible et en nombre silencieuses
allégorique,"[('allégorique', 's'), ('allégoriques', 'p')]",variations en genre et en nombre silencieuses
allégé,"[('allégé', 'ms'), ('allégée', 'fs'), ('allégées', 'fp'), ('allégés', 'mp')]",variations en genre et en nombre silencieuses
allélomorphe,"[('allélomorphe', 's'), ('allélomorphes', 'p')]",variations en genre et en nombre silencieuses
alogique,"[('alogique', 's'), ('alogiques', 'p')]",variations en genre et en nombre silencieuses
alourdissant,"[('alourdissant', 'ms'), ('alourdissante', 'fs'), ('alourdissantes', 'fp'), ('alourdissants', 'mp')]",variations en genre audible et en nombre silencieuses
alpestre,"[('alpestre', 's'), ('alpestres', 'p')]",variations en genre et en nombre silencieuses
alpha,"[('alpha', '')]",variations en genre et en nombre silencieuses
alphabète,"[('alphabète', 's'), ('alphabètes', 'p')]",variations en genre et en nombre silencieuses
alphabétique,"[('alphabétique', 's'), ('alphabétiques', 'p')]",variations en genre et en nombre silencieuses
alphanumérique,"[('alphanumérique', 's'), ('alphanumériques', 'p')]",variations en genre et en nombre silencieuses
alpin,"[('alpin', 'ms'), ('alpine', 'fs'), ('alpines', 'fp'), ('alpins', 'mp')]",variations en genre audible et en nombre silencieuses
alsacien,"[('alsacien', 'ms'), ('alsacienne', 'fs'), ('alsaciennes', 'fp'), ('alsaciens', 'mp')]",variations en genre audible et en nombre silencieuses
altaïque,"[('altaïque', 's'), ('altaïques', 'p')]",variations en genre et en nombre silencieuses
alternant,"[('alternant', 'ms'), ('alternante', 'fs'), ('alternantes', 'fp'), ('alternants', 'mp')]",variations en genre audible et en nombre silencieuses
alternatif,"[('alternatif', 'ms'), ('alternatifs', 'mp'), ('alternative', 'fs'), ('alternatives', 'fp')]",variations en genre audible et en nombre silencieuses
alterne,"[('alterne', 's'), ('alternes', 'p')]",variations en genre et en nombre silencieuses
alterné,"[('alterné', 'ms'), ('alternée', 'fs'), ('alternées', 'fp'), ('alternés', 'mp')]",variations en genre et en nombre silencieuses
altier,"[('altier', 'ms'), ('altiers', 'mp'), ('altière', 'fs'), ('altières', 'fp')]",variations en genre et en nombre silencieuses
altimontain,"[('altimontain', 'ms'), ('altimontaine', 'fs'), ('altimontaines', 'fp'), ('altimontains', 'mp')]",variations en genre audible et en nombre silencieuses
altogovien,"[('altogovien', 'ms'), ('altogovienne', 'fs'), ('altogoviennes', 'fp'), ('altogoviens', 'mp')]",variations en genre audible et en nombre silencieuses
altruiste,"[('altruiste', 's'), ('altruistes', 'p')]",variations en genre et en nombre silencieuses
altérable,"[('altérable', 's'), ('altérables', 'p')]",variations en genre et en nombre silencieuses
altéragène,"[('altéragène', 's'), ('altéragènes', 'p')]",variations en genre et en nombre silencieuses
altérant,"[('altérant', 'ms'), ('altérante', 'fs'), ('altérantes', 'fp'), ('altérants', 'mp')]",variations en genre audible et en nombre silencieuses
altéré,"[('altéré', 'ms'), ('altérée', 'fs'), ('altérées', 'fp'), ('altérés', 'mp')]",variations en genre et en nombre silencieuses
alumineux,"[('alumineuse', 'fs'), ('alumineuses', 'fp'), ('alumineux', 'm')]",variations en genre audible et en nombre silencieuses
alunifère,"[('alunifère', 's'), ('alunifères', 'p')]",variations en genre et en nombre silencieuses
alvin,"[('alvin', 'ms'), ('alvine', 'fs'), ('alvines', 'fp'), ('alvins', 'mp')]",variations en genre audible et en nombre silencieuses
alvéolaire,"[('alvéolaire', 's'), ('alvéolaires', 'p')]",variations en genre et en nombre silencieuses
alvéolé,"[('alvéolé', 'ms'), ('alvéolée', 'fs'), ('alvéolées', 'fp'), ('alvéolés', 'mp')]",variations en genre et en nombre silencieuses
aléatoire,"[('aléatoire', 's'), ('aléatoires', 'p')]",variations en genre et en nombre silencieuses
alémanique,"[('alémanique', 's'), ('alémaniques', 'p')]",variations en genre et en nombre silencieuses
alénois,"[('alénois', 'm'), ('alénoise', 'fs'), ('alénoises', 'fp')]",variations en genre audible et en nombre silencieuses
aléseur,"[('aléseur', 'ms'), ('aléseurs', 'mp'), ('aléseuse', 'fs'), ('aléseuses', 'fp')]",invariable
alésien,"[('alésien', 'ms'), ('alésienne', 'fs'), ('alésiennes', 'fp'), ('alésiens', 'mp')]",variations en genre audible et en nombre silencieuses
alésé,"[('alésé', 'ms'), ('alésée', 'fs'), ('alésées', 'fp'), ('alésés', 'mp')]",variations en genre et en nombre silencieuses
amaigri,"[('amaigri', 'ms'), ('amaigrie', 'fs'), ('amaigries', 'fp'), ('amaigris', 'mp')]",variations en genre et en nombre silencieuses
amaigrissant,"[('amaigrissant', 'ms'), ('amaigrissante', 'fs'), ('amaigrissantes', 'fp'), ('amaigrissants', 'mp')]",variations en genre audible et en nombre silencieuses
amarante,"[('amarante', '')]",variations en genre et en nombre silencieuses
amaril,"[('amaril', 'ms'), ('amarile', 'fs'), ('amariles', 'fp'), ('amarils', 'mp')]",invariable
amarnien,"[('amarnien', 'ms'), ('amarnienne', 'fs'), ('amarniennes', 'fp'), ('amarniens', 'mp')]",variations en genre audible et en nombre silencieuses
amateur,"[('amateur', 's'), ('amateurs', 'p')]",invariable
amaurotique,"[('amaurotique', 's'), ('amaurotiques', 'p')]",variations en genre et en nombre silencieuses
amazonien,"[('amazonien', 'ms'), ('amazonienne', 'fs'), ('amazoniennes', 'fp'), ('amazoniens', 'mp')]",variations en genre audible et en nombre silencieuses
ambassadorial,"[('ambassadorial', 'ms'), ('ambassadoriale', 'fs'), ('ambassadoriales', 'fp'), ('ambassadoriaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
ambiant,"[('ambiant', 'ms'), ('ambiante', 'fs'), ('ambiantes', 'fp'), ('ambiants', 'mp')]",variations en genre audible et en nombre silencieuses
ambidextre,"[('ambidextre', 's'), ('ambidextres', 'p')]",variations en genre et en nombre silencieuses
ambigu,"[('ambigu', 'ms'), ('ambigus', 'mp'), ('ambiguë', 'fs'), ('ambiguës', 'fp')]",variations en genre et en nombre silencieuses
ambisexué,"[('ambisexué', 'ms'), ('ambisexuée', 'fs'), ('ambisexuées', 'fp'), ('ambisexués', 'mp')]",variations en genre et en nombre silencieuses
ambitieux,"[('ambitieuse', 'fs'), ('ambitieuses', 'fp'), ('ambitieux', 'm')]",variations en genre audible et en nombre silencieuses
ambivalent,"[('ambivalent', 'ms'), ('ambivalente', 'fs'), ('ambivalentes', 'fp'), ('ambivalents', 'mp')]",variations en genre audible et en nombre silencieuses
ambleur,"[('ambleur', 'ms'), ('ambleurs', 'mp'), ('ambleuse', 'fs'), ('ambleuses', 'fp')]",invariable
amblyope,"[('amblyope', 's'), ('amblyopes', 'p')]",variations en genre et en nombre silencieuses
ambrosien,"[('ambrosien', 'ms'), ('ambrosienne', 'fs'), ('ambrosiennes', 'fp'), ('ambrosiens', 'mp')]",variations en genre audible et en nombre silencieuses
ambré,"[('ambré', 'ms'), ('ambrée', 'fs'), ('ambrées', 'fp'), ('ambrés', 'mp')]",variations en genre et en nombre silencieuses
ambulancier,"[('ambulancier', 'ms'), ('ambulanciers', 'mp'), ('ambulancière', 'fs'), ('ambulancières', 'fp')]",variations en genre et en nombre silencieuses
ambulant,"[('ambulant', 'ms'), ('ambulante', 'fs'), ('ambulantes', 'fp'), ('ambulants', 'mp')]",variations en genre audible et en nombre silencieuses
ambulatoire,"[('ambulatoire', 's'), ('ambulatoires', 'p')]",variations en genre et en nombre silencieuses
amendable,"[('amendable', 's'), ('amendables', 'p')]",variations en genre et en nombre silencieuses
amentifère,"[('amentifère', 's'), ('amentifères', 'p')]",variations en genre et en nombre silencieuses
amer,"[('amer', 'ms'), ('amers', 'mp'), ('amère', 'fs'), ('amères', 'fp')]",variations en genre et en nombre silencieuses
amharique,"[('amharique', 's'), ('amhariques', 'p')]",variations en genre et en nombre silencieuses
ami,"[('ami', 'ms'), ('amie', 'fs'), ('amies', 'fp'), ('amis', 'mp')]",variations en genre et en nombre silencieuses
amiable,"[('amiable', 's'), ('amiables', 'p')]",variations en genre et en nombre silencieuses
amibien,"[('amibien', 'ms'), ('amibienne', 'fs'), ('amibiennes', 'fp'), ('amibiens', 'mp')]",variations en genre audible et en nombre silencieuses
amiboïde,"[('amiboïde', 's'), ('amiboïdes', 'p')]",variations en genre et en nombre silencieuses
amical,"[('amical', 'ms'), ('amicale', 'fs'), ('amicales', 'fp'), ('amicaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
amidonnier,"[('amidonnier', 'ms'), ('amidonniers', 'mp'), ('amidonnière', 'fs'), ('amidonnières', 'fp')]",variations en genre et en nombre silencieuses
amincissant,"[('amincissant', 'ms'), ('amincissante', 'fs'), ('amincissantes', 'fp'), ('amincissants', 'mp')]",variations en genre audible et en nombre silencieuses
aminé,"[('aminé', 'ms'), ('aminée', 'fs'), ('aminées', 'fp'), ('aminés', 'mp')]",variations en genre et en nombre silencieuses
amiral,"[('amiral', 'ms'), ('amirale', 'fs'), ('amirales', 'fp'), ('amiraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
amiénois,"[('amiénois', 'm'), ('amiénoise', 'fs'), ('amiénoises', 'fp')]",variations en genre audible et en nombre silencieuses
ammoniac,"[('ammoniac', 's'), ('ammoniacs', 'p')]",invariable
ammoniacal,"[('ammoniacal', 'ms'), ('ammoniacale', 'fs'), ('ammoniacales', 'fp'), ('ammoniacaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
ammophile,"[('ammophile', 's'), ('ammophiles', 'p')]",variations en genre et en nombre silencieuses
amniotique,"[('amniotique', 's'), ('amniotiques', 'p')]",variations en genre et en nombre silencieuses
amnistiable,"[('amnistiable', 's'), ('amnistiables', 'p')]",variations en genre et en nombre silencieuses
amnistiant,"[('amnistiant', 'ms'), ('amnistiante', 'fs'), ('amnistiantes', 'fp'), ('amnistiants', 'mp')]",variations en genre audible et en nombre silencieuses
amnistié,"[('amnistié', 'ms'), ('amnistiée', 'fs'), ('amnistiées', 'fp'), ('amnistiés', 'mp')]",variations en genre et en nombre silencieuses
amnésique,"[('amnésique', 's'), ('amnésiques', 'p')]",variations en genre et en nombre silencieuses
amoindrissant,"[('amoindrissant', 'ms'), ('amoindrissante', 'fs'), ('amoindrissantes', 'fp'), ('amoindrissants', 'mp')]",variations en genre audible et en nombre silencieuses
amollissant,"[('amollissant', 'ms'), ('amollissante', 'fs'), ('amollissantes', 'fp'), ('amollissants', 'mp')]",variations en genre audible et en nombre silencieuses
amoral,"[('amoral', 'ms'), ('amorale', 'fs'), ('amorales', 'fp'), ('amoraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
amoraliste,"[('amoraliste', 's'), ('amoralistes', 'p')]",variations en genre et en nombre silencieuses
amorphe,"[('amorphe', 's'), ('amorphes', 'p')]",variations en genre et en nombre silencieuses
amorti,"[('amorti', 'ms'), ('amortie', 'fs'), ('amorties', 'fp'), ('amortis', 'mp')]",variations en genre et en nombre silencieuses
amortissable,"[('amortissable', 's'), ('amortissables', 'p')]",variations en genre et en nombre silencieuses
amortisseur,"[('amortisseur', 'ms'), ('amortisseurs', 'mp'), ('amortisseuse', 'fs'), ('amortisseuses', 'fp')]",invariable
amoureux,"[('amoureuse', 'fs'), ('amoureuses', 'fp'), ('amoureux', 'm')]",variations en genre audible et en nombre silencieuses
amovible,"[('amovible', 's'), ('amovibles', 'p')]",variations en genre et en nombre silencieuses
amphibie,"[('amphibie', 's'), ('amphibies', 'p')]",variations en genre et en nombre silencieuses
amphibologique,"[('amphibologique', 's'), ('amphibologiques', 'p')]",variations en genre et en nombre silencieuses
amphictyonique,"[('amphictyonique', 's'), ('amphictyoniques', 'p')]",variations en genre et en nombre silencieuses
amphigourique,"[('amphigourique', 's'), ('amphigouriques', 'p')]",variations en genre et en nombre silencieuses
amphipode,"[('amphipode', 's'), ('amphipodes', 'p')]",variations en genre et en nombre silencieuses
amphotère,"[('amphotère', 's'), ('amphotères', 'p')]",variations en genre et en nombre silencieuses
ample,"[('ample', 's'), ('amples', 'p')]",variations en genre et en nombre silencieuses
amplectif,"[('amplectif', 'ms'), ('amplectifs', 'mp'), ('amplective', 'fs'), ('amplectives', 'fp')]",variations en genre audible et en nombre silencieuses
ampliatif,"[('ampliatif', 'ms'), ('ampliatifs', 'mp'), ('ampliative', 'fs'), ('ampliatives', 'fp')]",variations en genre audible et en nombre silencieuses
amplifiant,"[('amplifiant', 'ms'), ('amplifiante', 'fs'), ('amplifiantes', 'fp'), ('amplifiants', 'mp')]",variations en genre audible et en nombre silencieuses
amplificateur,"[('amplificateur', 'ms'), ('amplificateurs', 'mp'), ('amplificatrice', 'fs'), ('amplificatrices', 'fp')]",invariable
amplifié,"[('amplifié', 'ms'), ('amplifiée', 'fs'), ('amplifiées', 'fp'), ('amplifiés', 'mp')]",variations en genre et en nombre silencieuses
