adjectifs,ensembles des traits morpho,catégorie
mâle,"{'', 's', 'p'}",Varie en nombre
ok,{''},Ne varie pas en genre et en nombre
_-ci,{''},Ne varie pas en genre et en nombre
_-clef,"{'s', 'p'}",Varie en nombre
_-clé,"{'s', 'p'}",Varie en nombre
_-là,{''},Ne varie pas en genre et en nombre
_-né,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
_NUM,{''},Ne varie pas en genre et en nombre
_NUMBER,{''},Ne varie pas en genre et en nombre
_PATENTID,{''},Ne varie pas en genre et en nombre
_ROMNUM,{''},Ne varie pas en genre et en nombre
adj,{''},Ne varie pas en genre et en nombre
uw,{''},Ne varie pas en genre et en nombre
abaissable,"{'s', 'p'}",Varie en nombre
abaissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abaisseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
abandonnique,"{'s', 'p'}",Varie en nombre
abandonné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abasourdi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abasourdissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abattu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abaxial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abbasside,"{'s', 'p'}",Varie en nombre
abbatial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abbevillien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abbevillois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
abcédant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abdicataire,"{'s', 'p'}",Varie en nombre
abdominal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abducteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
aberrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abiotique,"{'s', 'p'}",Varie en nombre
abiétin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abject,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abjurant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abkhaze,"{'s', 'p'}",Varie en nombre
ablatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
aboli,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abolitionniste,"{'s', 'p'}",Varie en nombre
abominable,"{'s', 'p'}",Varie en nombre
abondanciste,"{'s', 'p'}",Varie en nombre
abondant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abonné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abordable,"{'s', 'p'}",Varie en nombre
abordé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aborigène,"{'s', 'p'}",Varie en nombre
abortif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
aboulique,"{'s', 'p'}",Varie en nombre
abouti,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aboutissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abouté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abracadabrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abrasif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
abricot,{''},Ne varie pas en genre et en nombre
abricoté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abrité,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abrogatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
abrogatoire,"{'s', 'p'}",Varie en nombre
abrogeable,"{'s', 'p'}",Varie en nombre
abrupt,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abruti,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abrutissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abréviatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
abscons,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
absent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
absentéiste,"{'s', 'p'}",Varie en nombre
absidal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
absolu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
absolutiste,"{'s', 'p'}",Varie en nombre
absolutoire,"{'s', 'p'}",Varie en nombre
absorbable,"{'s', 'p'}",Varie en nombre
absorbant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
absorbé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abstentionniste,"{'s', 'p'}",Varie en nombre
abstinent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abstracteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
abstrait,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abstrus,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
abstème,"{'s', 'p'}",Varie en nombre
absurde,"{'s', 'p'}",Varie en nombre
abusif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
abyssal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abyssin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abyssinien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abécédaire,"{'s', 'p'}",Varie en nombre
abélien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abêtissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abîmant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abîmé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acadien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
académique,"{'s', 'p'}",Varie en nombre
acajou,{''},Ne varie pas en genre et en nombre
acariâtre,"{'s', 'p'}",Varie en nombre
acaule,"{'s', 'p'}",Varie en nombre
accablant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accaparant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accapareur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accentuel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accentué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acceptable,"{'s', 'p'}",Varie en nombre
acceptant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accepteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accessible,"{'s', 'p'}",Varie en nombre
accessoire,"{'s', 'p'}",Varie en nombre
accidentel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accidenté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acclimatable,"{'s', 'p'}",Varie en nombre
accolé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accommodant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accommodateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accommodé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accompagné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accompli,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accordable,"{'s', 'p'}",Varie en nombre
accore,"{'s', 'p'}",Varie en nombre
accort,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accostable,"{'s', 'p'}",Varie en nombre
accoucheur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accoudé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accouplé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accourci,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accoutumé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accrescent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accro,"{'s', 'p'}",Varie en nombre
accrocheur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accru,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accréditant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accréditif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accrédité,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accueillant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accumulateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accumulé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
accusateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accusatoire,"{'s', 'p'}",Varie en nombre
accélérateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
accéléré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acerbe,"{'s', 'p'}",Varie en nombre
acescent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
achalandé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acharné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
achetable,"{'s', 'p'}",Varie en nombre
acheteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
acheuléen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
achevé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
achromatique,"{'s', 'p'}",Varie en nombre
achrome,"{'s', 'p'}",Varie en nombre
achromique,"{'s', 'p'}",Varie en nombre
achéen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
achéménide,"{'s', 'p'}",Varie en nombre
aciculaire,"{'s', 'p'}",Varie en nombre
acide,"{'s', 'p'}",Varie en nombre
acidifiable,"{'s', 'p'}",Varie en nombre
acidifiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acidophile,"{'s', 'p'}",Varie en nombre
acidulé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
aciéreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
aciéré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aclinal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aclinique,"{'s', 'p'}",Varie en nombre
acméiste,"{'s', 'p'}",Varie en nombre
acnodal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acnéique,"{'s', 'p'}",Varie en nombre
acotylédone,"{'s', 'p'}",Varie en nombre
acoustique,"{'s', 'p'}",Varie en nombre
acquis,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
acquisitif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
acquittable,"{'s', 'p'}",Varie en nombre
acridien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acrimonieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
acrobatique,"{'s', 'p'}",Varie en nombre
acrocéphale,"{'s', 'p'}",Varie en nombre
acrolithe,"{'s', 'p'}",Varie en nombre
acromégale,"{'s', 'p'}",Varie en nombre
acromégalique,"{'s', 'p'}",Varie en nombre
acrostiche,"{'s', 'p'}",Varie en nombre
acrylique,"{'s', 'p'}",Varie en nombre
acteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
actif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
actinique,"{'s', 'p'}",Varie en nombre
actinomorphe,"{'s', 'p'}",Varie en nombre
actinométrique,"{'s', 'p'}",Varie en nombre
actionnable,"{'s', 'p'}",Varie en nombre
actionnaliste,"{'s', 'p'}",Varie en nombre
actionnarial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
activateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
activiste,"{'s', 'p'}",Varie en nombre
activé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
actuariel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
actuel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aculéiforme,"{'s', 'p'}",Varie en nombre
acuminé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acutangle,"{'s', 'p'}",Varie en nombre
acyclique,"{'s', 'p'}",Varie en nombre
acéphale,"{'s', 'p'}",Varie en nombre
acéré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
acétique,"{'s', 'p'}",Varie en nombre
acétylsalicylique,"{'s', 'p'}",Varie en nombre
acétylénique,"{'s', 'p'}",Varie en nombre
acône,"{'s', 'p'}",Varie en nombre
ad hoc,{''},Ne varie pas en genre et en nombre
adamantin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adamien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adamique,"{'s', 'p'}",Varie en nombre
adamite,"{'s', 'p'}",Varie en nombre
adaptable,"{'s', 'p'}",Varie en nombre
adaptatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adapté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
additif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
additionnable,"{'s', 'p'}",Varie en nombre
additionnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
additionné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adducteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adextré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adhérent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adhésif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adiabatique,"{'s', 'p'}",Varie en nombre
adipeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
adipique,"{'s', 'p'}",Varie en nombre
adiré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adjacent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adjectif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adjectival,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adjectivé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adjoint,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adjudicatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adjugé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adjuvant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
administrable,"{'s', 'p'}",Varie en nombre
administratif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
administré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
admirable,"{'s', 'p'}",Varie en nombre
admirant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
admirateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
admiratif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
admis,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
admissible,"{'s', 'p'}",Varie en nombre
adnominal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adolescent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adoptable,"{'s', 'p'}",Varie en nombre
adoptant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adoptianiste,"{'s', 'p'}",Varie en nombre
adoptif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adorable,"{'s', 'p'}",Varie en nombre
adoral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adossé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adouci,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adoucissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adragant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adressé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adroit,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adrénergique,"{'s', 'p'}",Varie en nombre
adscrit,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adsorbant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adulaire,"{'s', 'p'}",Varie en nombre
adulateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adulte,"{'s', 'p'}",Varie en nombre
adultère,"{'s', 'p'}",Varie en nombre
adultérin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adventice,"{'s', 'p'}",Varie en nombre
adventif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adventiste,"{'s', 'p'}",Varie en nombre
adverbal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adverbial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
adversatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
adverse,"{'s', 'p'}",Varie en nombre
adynamique,"{'s', 'p'}",Varie en nombre
adénoïde,"{'s', 'p'}",Varie en nombre
adéquat,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
afar,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affable,"{'s', 'p'}",Varie en nombre
affabulateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
affadissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affaibli,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affaiblissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affaiblisseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
affairiste,"{'s', 'p'}",Varie en nombre
affairé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affamé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affectable,"{'s', 'p'}",Varie en nombre
affectataire,"{'s', 'p'}",Varie en nombre
affectif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
affectionné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affectueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
affecté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affermable,"{'s', 'p'}",Varie en nombre
affermi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affidé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affilié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affilé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affine,"{'s', 'p'}",Varie en nombre
affiné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affirmatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
affixal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affixe,"{'s', 'p'}",Varie en nombre
affixé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
afflictif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
affligeant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affluent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affolant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affolé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
affriolant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affriqué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affronté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
afférent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affété,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
affûté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
afghan,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
afocal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
africain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
africaniste,"{'s', 'p'}",Varie en nombre
afrikander,"{'s', 'p'}",Varie en nombre
afrikaner,"{'s', 'p'}",Varie en nombre
afro,{''},Ne varie pas en genre et en nombre
afro-asiatique,"{'s', 'p'}",Varie en nombre
afro-cubain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agatisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agaçant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agenais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
agenois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
agglomérant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aggloméré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agglutinant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agglutiné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aggravant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agile,"{'s', 'p'}",Varie en nombre
agissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agitant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agité,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aglyphe,"{'s', 'p'}",Varie en nombre
agnat,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agnathe,"{'s', 'p'}",Varie en nombre
agnelin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agnostique,"{'s', 'p'}",Varie en nombre
agonisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agoniste,"{'s', 'p'}",Varie en nombre
agrafeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
agraire,"{'s', 'p'}",Varie en nombre
agrammatical,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agrandi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agrarien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agressif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
agressé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
agreste,"{'s', 'p'}",Varie en nombre
agricole,"{'s', 'p'}",Varie en nombre
agro-alimentaire,"{'s', 'p'}",Varie en nombre
agroalimentaire,"{'s', 'p'}",Varie en nombre
agrochimique,"{'s', 'p'}",Varie en nombre
agrologique,"{'s', 'p'}",Varie en nombre
agronomique,"{'s', 'p'}",Varie en nombre
agréable,"{'s', 'p'}",Varie en nombre
agrégatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
agrégé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aguichant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aguicheur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
ahanant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ahuri,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ahurissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aigre,"{'s', 'p'}",Varie en nombre
aigre-doux,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aigrelet,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
aigretté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aigri,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aigu,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
aiguilleté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aiguiseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
aiguisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aillé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ailé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aimable,"{'s', 'p'}",Varie en nombre
aimant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aimanté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aimé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aise,"{'s', 'p'}",Varie en nombre
aisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
aixois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
ajaccien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ajacéen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ajiste,"{'s', 'p'}",Varie en nombre
ajournable,"{'s', 'p'}",Varie en nombre
ajourné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ajouré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ajusté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
akkadien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alaire,"{'s', 'p'}",Varie en nombre
alambiqué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alangui,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alaouite,"{'s', 'p'}",Varie en nombre
alarmant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
alarmiste,"{'s', 'p'}",Varie en nombre
alarmé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
albanais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
albanophone,"{'s', 'p'}",Varie en nombre
albigeois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
albinos,{''},Ne varie pas en genre et en nombre
albuginé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
albumineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
albuminoïde,"{'s', 'p'}",Varie en nombre
albuminurique,"{'s', 'p'}",Varie en nombre
albuminé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
